Brand,Shoename,Category,No.Of_colors,Price
Adidas,SAMBA DECO SPZL SHOES,Unisex,2.0,11 999.00
Adidas,Y-3 NIZZA BOOT,Unisex,,39 999.00
Adidas,CORERACER SHOES,Men,4.0,5 599.00
Adidas,ULTRABOOST LIGHT SHOES,Unisex,15.0,18 999.00
Adidas,4DFWD 3 RUNNING SHOES,Men,9.0,21 999.00
Adidas,ULTRABOOST LIGHT 23 SHOES,Unisex,2.0,18 999.00
Adidas,COURT REVIVAL SHOES,Men,2.0,9 999.00
Adidas,GALAXY 6 SHOES,Men,9.0,5 999.00
Adidas,X_PLR BOOST SHOES,Men,2.0,17 999.00
Adidas,HU NMD ANIMAL PRINT,Men,2.0,21 999.00
Adidas,Y-3 KYASU HI,Unisex,,37 999.00
Adidas,ULTRABOOST 1.0 ATR SHOES,Unisex,2.0,19 999.00
Adidas,ULTRABOOST 1.0 ATR SHOES,Unisex,2.0,19 999.00
Adidas,4DFWD 3 RUNNING SHOES,Women,7.0,21 999.00
Adidas,ULTRABOOST 1.0 ATR SHOES,Unisex,2.0,19 999.00
Adidas,ULTRABOUNCE SHOES,Men,11.0,7 999.00
Adidas,CORERACER SHOES,Men,4.0,5 599.00
Adidas,SAMBA OG SHOES,Unisex,,11 999.00
Adidas,PUREBOOST 23 SHOES,Men,6.0,12 999.00
Adidas,GAZELLE SHOES,Men,3.0,9 999.00
Adidas,LITE RACER 3.0 SHOES,Men,8.0,4 999.00
Adidas,HOOPS 3.0 MID CLASSIC VINTAGE SHOES,Unisex,3.0,6 999.00
Adidas,ULTRABOOST LIGHT,Men,3.0,19 999.00
Adidas,Y-3 KYASU HI,Unisex,,37 999.00
Adidas,SWITCH FWD RUNNING SHOES,Men,7.0,13 999.00
Adidas,X_PLRPHASE SHOES,Men,6.0,10 999.00
Adidas,Y-3 CENTENNIAL LO,Unisex,,37 999.00
Adidas,ULTRABOOST 1.0 SHOES,Men,2.0,19 999.00
Adidas,ULTRABOOST LIGHT SHOES,Unisex,15.0,18 999.00
Adidas,NMD_R1 SHOES,Men,2.0,11 249.50
Adidas,ADIZERO SL,Men,9.0,11 999.00
Adidas,RACER TR23 SHOES,Men,6.0,7 999.00
Adidas,ULTRABOOST LIGHT SHOES,Unisex,15.0,18 999.00
Adidas,ULTRABOUNCE SHOES,Men,11.0,7 999.00
Adidas,VL COURT 3.0 SHOES,Men,2.0,7 599.00
Adidas,VS PACE 2.0 SHOES,Men,6.0,4 999.00
Adidas,ULTRABOUNCE SHOES,Men,11.0,7 999.00
Adidas,X_PLRPHASE SHOES,Men,6.0,10 999.00
Adidas,ADILETTE CLOGS,Unisex,4.0,4 599.00
Adidas,ULTRABOOST LIGHT SHOES,Men,,18 999.00
Adidas,X_PLRBOOST SHOES,Men,4.0,17 999.00
Adidas,GALAXY 6 SHOES,Men,9.0,5 999.00
Adidas,LITE RACER ADAPT 6.0 SHOES,Men,5.0,6 999.00
Adidas,WALKPAL SHOES,Men,2.0,4 799.00
Adidas,ULTRABOOST LIGHT SHOES,Women,,18 999.00
Adidas,4DFWD 3 RUNNING SHOES,Women,7.0,21 999.00
Adidas,X_PLR BOOST SHOES,Men,2.0,17 999.00
Adidas,Y-3 KYASU LO,Unisex,,34 999.00
Adidas,AVRYN SHOES,Unisex,5.0,9 799.50
Adidas,DURAMO SL SHOES,Men,4.0,6 599.00
Adidas,RESTOUND SHOES,Men,2.0,2 519.50
Adidas,LITE RACER ADAPT 6.0 SHOES,Men,5.0,6 999.00
Adidas,4DFWD 3 RUNNING SHOES,Women,7.0,21 999.00
Adidas,ULTRABOOST 1.0 ATR SHOES,Unisex,2.0,19 999.00
Adidas,COURTBLOCK SHOES,Men,3.0,4 999.00
Adidas,LITE RACER 3.0 SHOES,Men,8.0,4 999.00
Adidas,AVRYN SHOES,Unisex,2.0,10 499.50
Adidas,COURT SHOES,Men,4.0,5 599.00
Adidas,SUPERSTAR XLG SHOES,Unisex,3.0,11 999.00
Adidas,NIZZA RF SHOES,Unisex,2.0,7 999.00
Adidas,RESPONSE SHOES,Men,4.0,5 699.50
Adidas,VL COURT 3.0 SHOES,Men,2.0,7 599.00
Adidas,RUN 50S SHOES,Unisex,5.0,3 999.00
Adidas,ADILETTE COMFORT ADJUSTABLE BANDAGE SLIDES,Unisex,2.0,3 999.00
Adidas,ULTRABOOST 1.0 SHOES,Men,4.0,17 999.00
Adidas,ADILETTE LITE SLIDES,Unisex,5.0,2 999.00
Adidas,ULTRABOOST LIGHT SHOES,Women,8.0,18 999.00
Adidas,VULC RAID3R LIFESTYLE SKATEBOARDING SLIP-ON CANVAS SHOES,Unisex,2.0,3 919.50
Adidas,DURAMO SL SHOES,Men,4.0,6 599.00
Adidas,RESPONSE RUNNER SHOES,Unisex,2.0,5 599.00
Adidas,GAZELLE SHOES,Men,3.0,9 999.00
Adidas,4DFWD 3 RUNNING SHOES,Women,7.0,21 999.00
Adidas,ULTRABOOST LIGHT COLD.RDY 2.0 SHOES,Men,,19 999.00
Adidas,Y-3 RIVALRY,Unisex,,34 999.00
Adidas,Y-3 KYASU LO,Unisex,,34 999.00
Adidas,ADILETTE LITE SLIDES,Unisex,5.0,2 999.00
Adidas,COURT SHOES,Men,4.0,5 599.00
Adidas,4DFWD 3 RUNNING SHOES,Men,9.0,21 999.00
Adidas,AVRYN SHOES,Unisex,5.0,10 499.50
Adidas,X_PLRBOOST SHOES,Men,2.0,17 999.00
Adidas,SPORT INSPIRED THROB SHOES,Men,,2 309.50
Adidas,X_PLRBOOST SHOES,Women,4.0,13 499.50
Adidas,ADI-SHAWT SPORT INSPIRED SHOES,Men,3.0,2 794.50
Adidas,ULTRABOOST LIGHT SHOES,Men,,18 999.00
Adidas,AVRYN SHOES,Unisex,5.0,10 499.50
Adidas,RUNFALCON 3.0 SHOES,Men,3.0,4 949.50
Adidas,SWITCH RUN RUNNING SHOES,Men,4.0,7 999.00
Adidas,ADILETTE LITE SLIDES,Unisex,5.0,2 999.00
Adidas,ADILETTE CLOGS,Unisex,4.0,4 599.00
Adidas,SOLARBOOST 5 SHOES,Men,5.0,16 999.00
Adidas,ADISSAGE SLIDES,Unisex,4.0,2 999.00
Adidas,STAN SMITH SHOES,Men,3.0,8 999.00
Adidas,ULTRABOUNCE SHOES,Men,11.0,7 999.00
Adidas,ULTRABOOST LIGHT SHOES,Unisex,,18 999.00
Adidas,ULTRABOOST LIGHT SHOES,Unisex,15.0,18 999.00
Adidas,ADIFOM SUPERSTAR SHOES,Unisex,,7 999.00
Adidas,HEAWYN SHOES,Men,3.0,7 499.50
Adidas,ADILETTE SLIDES,Men,3.0,3 999.00
Adidas,SOLARCONTROL 2.0 SHOES,Men,2.0,14 999.00
Adidas,X_PLRBOOST SHOES,Men,3.0,17 999.00
Adidas,VL COURT BASE SHOES,Men,5.0,3 999.00
Adidas,NMD_R1 SHOES,Women,2.0,14 999.00
Adidas,GAZELLE 85 SHOES,Men,2.0,12 999.00
Adidas,RUN 50S SHOES,Unisex,,2 799.50
Adidas,X_PLR BOOST SHOES,Men,,17 999.00
Adidas,ADILETTE LITE SLIDES,Unisex,5.0,2 999.00
Adidas,NMD_R1 SHOES,Women,2.0,14 999.00
Adidas,NMD_S1 KNIT SHOES,Men,,24 999.00
Adidas,VL COURT LIFESTYLE SKATEBOARDING SUEDE SHOES,Unisex,2.0,5 999.00
Adidas,ULTRABOOST LIGHT SHOES,Women,8.0,18 999.00
Adidas,4DFWD 3 RUNNING SHOES,Men,9.0,21 999.00
Adidas,ULTRABOOST 1.0 SHOES,Women,,19 999.00
Adidas,ULTRABOOST 1.0 SHOES,Women,,17 999.00
Adidas,HEAWYN SHOES,Men,3.0,6 999.50
Adidas,Hu NMD Animal Print Shoes,Men,2.0,21 999.00
Adidas,COURT SHOES,Men,4.0,5 599.00
Adidas,ULTRABOOST 1.0 SHOES,Men,2.0,19 999.00
Adidas,ADVANTAGE PREMIUM SHOES,Men,3.0,6 299.50
Adidas,ADILETTE COMFORT SLIDES,Unisex,4.0,3 999.00
Adidas,RESPONSE RUNNER SHOES,Unisex,2.0,5 599.00
Adidas,AVRYN SHOES,Unisex,,10 499.50
Adidas,Y-3 SUPERSTAR,Unisex,,29 999.00
Adidas,Y-3 GAZELLE,Unisex,,29 999.00
