Count_of_sizes,Name_ of_colors,Product_code
5,"Kettle, Black", BM5578-005
2,"Cordovan, Black", BM5578-231
4,"Black, Graphite", BM0159-010
5,"Collegiate Navy, Red Quartz", BM0159-468
4,"Black, Graphite", BM0159-010
5,"Collegiate Navy, Red Quartz", BM0159-468
5,"Oatmeal, Beach", BM5372-241
3,"Graphite, Dark Adobe", BM5372-053
5,"Mud, Squash", BM5372-255
5,"Mud, Abyss", BM7536-255
6,"Peatmoss, Black", BM7536-213
3,"Light Cloud, Sea Salt", BM5371-020
2,"Cordovan, Squash", BM5371-231
1,"Nori, Black", BM5371-384
3,"Collegiate Navy, Black", BM5371-468
5,"Oatmeal, Beach", BM5372-241
3,"Graphite, Dark Adobe", BM5372-053
5,"Mud, Squash", BM5372-255
5,"Mud, Abyss", BM7536-255
6,"Peatmoss, Black", BM7536-213
3,"Light Cloud, Sea Salt", BM5371-020
2,"Cordovan, Squash", BM5371-231
1,"Nori, Black", BM5371-384
3,"Collegiate Navy, Black", BM5371-468
5,"Oatmeal, Beach", BM5372-241
3,"Graphite, Dark Adobe", BM5372-053
5,"Mud, Squash", BM5372-255
4,"Black, White", BM0166-010
4,"Mountain, Admiral", BM0166-441
4,"Black, Graphite", BM0486-010
4,"Mosstone, Golden Yellow", BM0486-302
2,"DARK GREY, BLACK", BM6940-089
5,"Canvas Tan, Black", BM6940-247
2,"Black, White", BM5953-012
4,"Canvas Tan, Black", BM5953-247
1,"Deep Water, Spark", BM0659-317
3,"Black, White", BM0659-010
3,"Mud, Dark Adobe", BM0834-255
1,"Kettle, Black", BM8210-005
3,"Cordovan, Gold Amber", BM8210-231
4,"Cordovan, Curry", BM0111-231
4,"Gravel, Black", BM0111-339
3,"Pebble, Black", BM7444-227
4,"Nori, Gold Amber", BM7444-383
4,"Cordovan, Curry", BM0111-231
4,"Gravel, Black", BM0111-339
2,"Black, Black", BM8043-010
3,"Dark Stone, Dark Stone", BM8043-278
3,"Mosstone, Mosstone", BM8043-302
4,"Black, Graphite", BM0486-010
4,"Mosstone, Golden Yellow", BM0486-302
3,"Pebble, Black", BM7444-227
4,"Nori, Gold Amber", BM7444-383
4,"Black, White", BM0166-010
4,"Mountain, Admiral", BM0166-441
2,"Black, Red Jasper", BM3530-010
3,"Dark Grey, Silver Grey", BM3530-089
1,"Warm Copper, Black", BM3530-858
1,"Graphite, Dark Adobe", BM0829-053
3,"Abyss, Fission", BM0829-439
2,"Black, Black", BM8043-010
3,"Dark Stone, Dark Stone", BM8043-278
3,"Mosstone, Mosstone", BM8043-302
7,"Black, Owl", YM8651-010
1,"Graphite, Dark Adobe", BM0829-053
3,"Abyss, Fission", BM0829-439
1,"Black, Solar", BM0156-010
1,"Dark Moss, Mango", BM0156-367
1,"Dark Mountain, Steam", BM0156-478
1,"Kettle, Mountain Red", BM0155-005
2,"Black, White", BM6578-010
2,"Ocean Blue, Collegiate Navy", BM6578-417
2,"Black, Black", BM8043-010
3,"Dark Stone, Dark Stone", BM8043-278
3,"Mosstone, Mosstone", BM8043-302
2,Cordovan, BM0833-231
2,"Black, Red Jasper", BM3530-010
3,"Dark Grey, Silver Grey", BM3530-089
1,"Warm Copper, Black", BM3530-858
2,"Black, Red Jasper", BM3530-010
3,"Dark Grey, Silver Grey", BM3530-089
1,"Warm Copper, Black", BM3530-858
1,"Black, Solar", BM0156-010
1,"Dark Moss, Mango", BM0156-367
1,"Dark Mountain, Steam", BM0156-478
2,"DARK GREY, BLACK", BM6940-089
5,"Canvas Tan, Black", BM6940-247
3,"Light Cloud, Sea Salt", BM5371-020
2,"Cordovan, Squash", BM5371-231
1,"Nori, Black", BM5371-384
3,"Collegiate Navy, Black", BM5371-468
2,"DARK GREY, BLACK", BM7573-089
1,"Nori, Black", BM7573-383
2,"Black, Light Sand", BM7615-010
2,"Nori, Golden Yellow", BM7615-383
2,"Black, White", BM4980-010
1,"Kettle, Black", BM8210-005
3,"Cordovan, Gold Amber", BM8210-231
1,"Black, Solar", BM0156-010
1,"Dark Moss, Mango", BM0156-367
1,"Dark Mountain, Steam", BM0156-478
2,"Black, White", BM6578-010
2,"Ocean Blue, Collegiate Navy", BM6578-417
2,"Nori, Black", BM8538-383
2,"Ti Grey Steel, Spicy", BM8538-033
2,"Nori, Black", BM8538-383
2,"Ti Grey Steel, Spicy", BM8538-033
2,"Black, Light Sand", BM7615-010
2,"Nori, Golden Yellow", BM7615-383
2,"DARK GREY, BLACK", BM7573-089
1,"Nori, Black", BM7573-383
2,"Black, White", BM5953-012
4,"Canvas Tan, Black", BM5953-247
3,"Light Cloud, Sea Salt", BM5371-020
2,"Cordovan, Squash", BM5371-231
1,"Nori, Black", BM5371-384
3,"Collegiate Navy, Black", BM5371-468
1,"Deep Water, Spark", BM0659-317
3,"Black, White", BM0659-010
2,"Black, Graphite", BM8525-010
5,"Kettle, Black", BM5578-005
2,"Cordovan, Black", BM5578-231
3,"Black, Dark Grey", BL5578-010
5,"Graphite, Icy Morn", BL5578-053
3,"Black, Dark Grey", BL5578-010
5,"Graphite, Icy Morn", BL5578-053
5,"Icy Morn, Black", BL0159-329
5,"Black, Velvet Cove", BL0159-010
5,"Icy Morn, Black", BL0159-329
5,"Black, Velvet Cove", BL0159-010
5,"Black, Graphite", BL9797-010
5,"Sea Salt, Light Cloud", BL9797-125
2,"Black, White", BL0659-012
3,"Dark Grey, Electric Turquoise", BL0659-089
5,"Black, White", BL0659-010
5,"Ancient Fossil, Wild Geranium", BL0659-271
3,"Black, White", BL5953-012
5,"Monument, Wild Fuchsia", BL5953-036
5,"Kettle, Black", BL5953-005
5,"Dark Sapphire, Key West", BL5953-471
5,"Light Cloud, Sea Wave", BL7444-020
5,"Steam, Peach", BL7444-086
5,"Canvas Tan, Blue Dusk", BL4497-247
5,"Shale Mauve, Peatmoss", BL4497-553
2,"Black, White", BL0659-012
3,"Dark Grey, Electric Turquoise", BL0659-089
5,"Black, White", BL0659-010
5,"Ancient Fossil, Wild Geranium", BL0659-271
5,"Light Cloud, Sea Wave", BL7444-020
5,"Steam, Peach", BL7444-086
4,"Kettle, Light Sand", BL6940-005
4,"Shale Mauve, Dark Grey", BL6940-553
2,"Black, White", BL0659-012
3,"Dark Grey, Electric Turquoise", BL0659-089
5,"Black, White", BL0659-010
5,"Ancient Fossil, Wild Geranium", BL0659-271
3,"Black, White", BL5953-012
5,"Monument, Wild Fuchsia", BL5953-036
5,"Kettle, Black", BL5953-005
5,"Dark Sapphire, Key West", BL5953-471
3,"Black, White", BL5953-012
5,"Monument, Wild Fuchsia", BL5953-036
5,"Kettle, Black", BL5953-005
5,"Dark Sapphire, Key West", BL5953-471
4,"Steam, Frosted Purple", BL7615-088
3,"Shale Mauve, Graphite", BL7615-553
5,"Black, Graphite", BL9797-010
5,"Sea Salt, Light Cloud", BL9797-125
4,Black, BL0829-010
4,"Marionberry, Snowcap", BL0829-616
4,"Steam, Frosted Purple", BL7615-088
3,"Shale Mauve, Graphite", BL7615-553
4,"Graphite, Dolphin", BL0156-053
3,"Light Sand, Sea Wave", BL0156-193
5,"Canvas Tan, Blue Dusk", BL4497-247
5,"Shale Mauve, Peatmoss", BL4497-553
3,"Black, Deep Wave", BL0155-012
2,"Graphite, Dusty Green", BL0155-053
4,"Marionberry, Deep Water", BL0155-616
4,Black, BL0829-010
4,"Marionberry, Snowcap", BL0829-616
3,"Dark Grey, Dark Coral", BL7573-089
1,"Black, Ti Grey Steel", BL7573-010
1,"Mosstone, Blue Dusk", BL7573-302
3,"Black, White", BL5953-012
5,"Monument, Wild Fuchsia", BL5953-036
5,"Kettle, Black", BL5953-005
5,"Dark Sapphire, Key West", BL5953-471
4,"Kettle, Light Sand", BL6940-005
4,"Shale Mauve, Dark Grey", BL6940-553
3,"Black, Deep Wave", BL0155-012
2,"Graphite, Dusty Green", BL0155-053
4,"Marionberry, Deep Water", BL0155-616
4,"Kettle, Dark Grey", BL5372-006
1,"Ancient Fossil, Light Lichen", BL5372-275
4,"Graphite, Dolphin", BL0156-053
4,"Light Sand, Sea Wave", BL0156-193
6,"Black, Salmon Rose", YL8651-010
6,"Ti Grey Steel, Sage Leaf", YL8651-033
6,"Black, Salmon Rose", YL8651-010
6,"Ti Grey Steel, Sage Leaf", YL8651-033
1,Black, BL1661-010
1,Pebble, BL0834-227
Na,Black, BL1652-010
4,"Kettle, Dark Grey", BL5372-006
1,"Ancient Fossil, Light Lichen", BL5372-275
2,"Black, White", BL0659-012
3,"Dark Grey, Electric Turquoise", BL0659-089
5,"Black, White", BL0659-010
5,"Ancient Fossil, Wild Geranium", BL0659-271
3,"Dark Grey, Dark Coral", BL7573-089
1,"Black, Ti Grey Steel", BL7573-010
1,"Mosstone, Blue Dusk", BL7573-302
3,"Dark Grey, Dark Coral", BL7573-089
1,"Black, Ti Grey Steel", BL7573-010
1,"Mosstone, Blue Dusk", BL7573-302
2,"Graphite, Daredevil", BL5371-053
3,"Kettle, Peach Blossom", YL5934-005
1,"Black, Sahara", YL5934-010
3,"Kettle, Peach Blossom", YL5934-005
1,"Black, Sahara", YL5934-010
3,"Black, Deep Wave", BL0155-012
2,"Graphite, Dusty Green", BL0155-053
4,"Marionberry, Deep Water", BL0155-616
1,"Dark Stone, Sea Salt", BL5106-279
