Brand,Shoename,Category,No.Of_colors,Price
Puma,Slipstream Women's Sneakers,womens,1,"4,799"
Puma,Mayze Crashed PRM Women's Sneakers,womens,2,"5,399"
Puma,Mayze Crashed PRM Women's Sneakers,womens,2,"5,399"
Puma,Blktop Rider Femme Women's Sneakers,womens,2,"5,399"
Puma,Blktop Rider Femme Women's Sneakers,womens,2,"5,399"
Puma,Muse X-2 Metallic V1 Women's Sneakers,womens,1,"4,199"
Puma,PUMA Cali Court Patent Women's Sneakers,womens,2,"4,499"
Puma,PUMA Cali Court Patent Women's Sneakers,womens,2,"4,499"
Puma,Cruise Rider V1 Women's Sneakers,womens,2,"4,499"
Puma,Cruise Rider V1 Women's Sneakers,womens,2,"4,499"
Puma,Mayze Crashed Women's Sneakers,womens,3,"7,999"
Puma,Mayze Crashed Women's Sneakers,womens,3,"7,999"
Puma,Infusion Premium Women's Training Shoes,womens,3,"3,899"
Puma,Infusion Premium Women's Training Shoes,womens,3,"3,899"
Puma,Infusion Premium Women's Training Shoes,womens,3,"3,899"
Puma,Hybrid Fuego Women's Running Shoes,womens,3,"3,079"
Puma,Hybrid Fuego Women's Running Shoes,womens,3,"3,079"
Puma,Hybrid Fuego Women's Running Shoes,womens,3,"3,079"
Puma,Smashic Women's Sneakers,womens,2,"2,019"
Puma,Smashic Women's Sneakers,womens,2,"2,019"
Puma,Cruise Rider Silk Women's Shoes,womens,2,"3,519"
Puma,Cruise Rider Silk Women's Shoes,womens,2,"3,519"
Puma,Deviate Nitro 2 Winterised Women's Trail Running Shoes,womens,1,"9,599"
Puma,Cilia Lux Women's Sneakers,womens,1,"3,599"
Puma,Fier Nitro Women's Sneakers,womens,2,"4,799"
Puma,Vikky v3 Mid Leather Women's Sneakers,womens,2,"3,569"
Puma,Carina 2.0 Mid Women's Sneakers,womens,2,"3,599"
Puma,Mayze Chelsea Women's Jelly Boots,womens,1,"5,399"
Puma,Cali Dream Brand Love Women's Sneakers,womens,2,"4,499"
Puma,Future Rider Soft Women's Sneakers,womens,2,"3,759"
Puma,RS-Pulsoid Women's Sneakers,womens,4,"9,999"
Puma,RS-Pulsoid Women's Sneakers,womens,4,"9,999"
Puma,Mayze Mix Women's Sneakers,womens,4,"8,999"
Puma,Future Rider Soft Women's Sneakers,womens,2,"7,999"
Puma,Mayze Mix Women's Sneakers,womens,4,"8,999"
Puma,PUMA Sienna SOFTRIDE Women's Ballerina Shoes,womens,1,"2,019"
Puma,PUMA X-Ray Fluido Women's Sneakers,womens,1,"2,999"
Puma,PUMA Celi Women's Sneakers,womens,2,"2,249"
Puma,PUMA Celi Women's Sneakers,womens,2,"2,249"
Puma,Whizzlite Women's Sneakers,womens,2,"2,159"
Puma,Whizzlite Women's Sneakers,womens,2,"2,159"
Puma,RS-X Soft Women's Sneakers,womens,3,"5,999"
Puma,RS-X Soft Women's Sneakers,womens,3,"6,499"
Puma,Karmen Rebelle Women's Sneakers,womens,2,"3,849"
Puma,Carina 2.0 Women's Sneakers,womens,2,"3,119"
