Count_of_sizes,Name_ of_colors,Product_code
6.0,PUMA White-Warm White,386270_13
6.0,Warm White,393070_03
6.0,PUMA White,393070_04
6.0,Future Pink-Alpine Snow,393119_03
6.0,PUMA Black-Alpine Snow,393119_01
6.0,PUMA Black-PUMA Black-Copper Rose,397069_01
6.0,PUMA White,394755_02
6.0,PUMA Black-PUMA White,394755_01
6.0,Warm White-Electric Blush-Racing Blue,395645_01
6.0,Electric Blush-PUMA White-Minty Burst,395645_02
6.0,PUMA White-Grape Mist,392495_08
6.0,PUMA White-PUMA Black,392495_02
5.0,PUMA Black-Warm White-PUMA Gold,378784_01
6.0,Future Pink-PUMA White,378784_03
4.0,Warm White-Alpine Snow,378784_02
4.0,Puma White-Pink Alert-Yellow Alert,192663_02
7.0,Puma Black-Blue Glimmer-Nrgy Rose,192663_05
5.0,Puma Black-Yellow Alert,192663_07
6.0,PUMA White-Spring Lavender-Matte Silver,395111_01
6.0,PUMA White-Peony-Matte Silver,395111_02
6.0,Puma White-Chalk Pink,375072_47
6.0,Nitro Blue-Puma White-Chalk Pink,375072_38
4.0,Puma Black-Metallic Silver,376857_01
1.0,Puma White-Rosewater-Mist Green-Puma Silver,370282_09
5.0,PUMA Black,389932_01
6.0,PUMA White-Poppy Pink-PUMA Gold,387610_07
1.0,Puma Black-Puma Black-Dark Shadow,385851_01
3.0,PUMA Black,393626_02
3.0,PUMA White-Peach Smoothie,394757_02
6.0,Silver Mist-Peach Fizz,381141_20
6.0,PUMA White-Silver Mist,392497_08
6.0,PUMA White-Passionfruit,392497_09
6.0,PUMA White-Ultraviolet,387468_11
6.0,PUMA White-Crushed Berry,381141_19
6.0,PUMA White-Rosebay,387468_13
5.0,Future Pink-Poppy Pink-Warm White,394636_01
4.0,Future Pink-Astro Red-Spring Lavender,394642_01
6.0,PUMA Black-PUMA White-Spring Fern,394653_02
6.0,Frosty Pink-Cool Mid Gray-PUMA White,394653_01
3.0,Warm White-Matte Silver,394652_02
3.0,PUMA Black-Matte Silver,394652_01
1.0,Frosty Pink-Warm White,393772_02
3.0,Frosty Pink-Ravish-Pearl Pink,393772_05
1.0,Puma White-Puma Black,387212_02
5.0,PUMA White-PUMA Gold,392518_01
5.0,Warm White,393625_01
6.0,Alpine Snow-Galaxy Pink,383683_05
6.0,PUMA White-Archive Green,393094_01
6.0,PUMA White-Sedate Gray,383683_06
4.0,PUMA White-Icy Blue,387468_06
3.0,Puma White-Puma White,387212_01
5.0,PUMA White-Metallic Gold,395642_01
5.0,Rose Dust,395642_02
4.0,PUMA White,395829_02
4.0,PUMA White-PUMA Gold,395829_01
6.0,PUMA White-Frosty Pink-Poppy Pink,392320_04
6.0,PUMA White,393207_01
6.0,PUMA White-Icy Blue-Electric Blush,392320_05
6.0,PUMA Black,393207_02
5.0,Warm White-PUMA White,392061_05
6.0,Future Pink-Warm White,392061_03
4.0,PUMA Black-PUMA Black-Rose Gold-PUMA White,389390_02
2.0,PUMA White-Alpine Snow,390646_03
3.0,PUMA White-PUMA White-PUMA Gold,389390_01
3.0,Vapor Gray-Glacial Gray,390646_04
2.0,PUMA Black-PUMA Black,394669_01
1.0,PUMA White-PUMA White,394669_02
,"PUMA White-Frosty Pink-Alpine Snow
: Sold Out",389390_10
1.0,Warm White-Frosty Pink,392338_03
1.0,PUMA White-Vivid Violet-Vapor Gray,392338_02
6.0,Warm White,393061_01
6.0,PUMA White-Yellow Burst,393934_01
5.0,PUMA White-Sedate Gray,392733_10
2.0,Future Pink-Future Pink-Rose Gold,384636_19
6.0,PUMA White-Koral Ice,392497_03
6.0,PUMA White-Pop Red,307874_01
6.0,Puma Black,384209_02
6.0,Frosty Pink-Ghost Pepper,394009_01
6.0,Ghost Pepper-Frosty Pink,393987_01
3.0,PUMA White-Green Fog,393934_02
5.0,Warm White-Flaxen,394874_01
6.0,Frosty Pink-Flaxen,393032_01
6.0,Warm White-Spring Fern,393032_02
6.0,Puma White-Puma White-Puma Silver,370325_02
5.0,Puma Black-Silver,387524_01
6.0,Puma White-Puma White-Puma Silver,385849_02
6.0,Puma White-Puma White-Puma Team Gold-Puma Black,385849_04
6.0,PUMA White-Vivid Violet-PUMA Black,392497_01
6.0,PUMA White-Feather Gray,393141_01
6.0,PUMA Black-Flat Dark Gray-PUMA Silver-PUMA White,393582_02
6.0,PUMA White-Spring Fern,393124_02
6.0,PUMA White,393072_01
6.0,Foxglove-PUMA White-Copper Rose,394277_02
6.0,PUMA White-Frosty Pink,393077_01
6.0,PUMA White-Matte Silver-PUMA Silver,393214_02
6.0,Puma Black-Puma Black-Puma Silver,385849_05
5.0,PUMA White-Spring Fern,393077_02
6.0,Puma White-Electric Blush,383113_08
7.0,Puma White,383113_03
4.0,PUMA White-Ravish,389887_01
6.0,Puma White-Neon Sun,383113_10
4.0,Granola-Day Dream,389894_02
3.0,PUMA White-Alpine Snow,393118_02
4.0,PUMA White-Peach Smoothie,393099_02
3.0,Puma Black-Puma Black-Puma Team Gold,385279_02
5.0,PUMA White-Warm White,393049_01
3.0,Warm White-PUMA White,393127_01
3.0,Warm White-Feather Gray,393141_02
2.0,PUMA White-Granola,393094_02
4.0,PUMA Black-Orange Peach-Ravish-Elektro Purple,387611_07
3.0,Hibiscus Flower-Vivid Violet,391101_01
2.0,Puma Black-Puma White,371212_01
2.0,Puma White-Fizzy Lime,383113_01
3.0,Hot Heat-Frosted Ivory,392514_01
2.0,Intense Lavender-PUMA White-Royal Sapphire,386274_09
3.0,Puma White-Puma White,383026_02
2.0,PUMA White,393069_01
2.0,Rose Dust,389932_02
