Review,Size,Comfort,Features,star_rating
NA,"['3', '4', '5', '6', '7', '8']","Heel type: Flat
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Leather upper
Rubber midsole and outsole
Synthetic leather quarter panel and heel overlay
PUMA Formstrip on the medial and lateral sides
PUMA Cat Logo on the heel",,NA
NA,"['3', '4', '5', '6', '7', '8']",PUMA’s leather products support responsible manufacturing via the Leather Working Group. www.leatherworkinggroup.com,"Leather quarter panel, vamp and underlays on the eyestay, Formstrip and heel cap
Synthetic back quarter panel and top tongue
Nubuck Formstrip, eyestay and heel cap
Woven PUMA label on top tongue
IMEVA and rubber midsole
IMEVA and rubber outsole",NA
NA,"['3', '4', '5', '6', '7', '8']",PUMA’s leather products support responsible manufacturing via the Leather Working Group. www.leatherworkinggroup.com,"Leather quarter panel, vamp and underlays on the eyestay, Formstrip and heel cap
Synthetic back quarter panel and top tongue
Nubuck Formstrip, eyestay and heel cap
Woven PUMA label on top tongue
IMEVA and rubber midsole
IMEVA and rubber outsole",NA
NA,"['3', '4', '5', '6', '7', '8']",PUMA’s leather products support responsible manufacturing via the Leather Working Group.www.leatherworkinggroup.com,"Suede base with suede overlays
Suede vamp, eyestay, and heel cap
Micro perforation suede base
Shimmery suede details on Formstrip
EVA midsole
Rubber outsole",NA
NA,"['3', '4', '5', '6', '7', '8']",PUMA’s leather products support responsible manufacturing via the Leather Working Group.www.leatherworkinggroup.com,"Suede base with suede overlays
Suede vamp, eyestay, and heel cap
Micro perforation suede base
Shimmery suede details on Formstrip
EVA midsole
Rubber outsole",NA
NA,"['3', '4', '5', '6', '7', '8']","IGNITE: PUMA’s unique PU Foam that provides responsiveness, maximum cushioning and energy return to propel you forward faster","Heel type: Platform
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
Low boot
Textile upper
Rubber outsole
PUMA Wordmark branding
Elastic strap overlays",NA
NA,"['3', '4', '5', '6', '7', '8']",PUMA’s leather products support responsible manufacturing via the Leather Working Group.www.leatherworkinggroup.com,"Synthetic and leather upper
Patent leather vamp and heel cap
Leather Formstrip, quarter panel, tongue and heel overlay
Synthetic quarter panel and eyestay
Perforated vamp and quarter panel details/
Debossed line on vamp
Debossed and tonal printed PUMA branding on tongue
Rubber midsole
Rubber outsole",NA
NA,"['3', '4', '5', '6', '7', '8']",PUMA’s leather products support responsible manufacturing via the Leather Working Group.www.leatherworkinggroup.com,"Synthetic and leather upper
Patent leather vamp and heel cap
Leather Formstrip, quarter panel, tongue and heel overlay
Synthetic quarter panel and eyestay
Perforated vamp and quarter panel details/
Debossed line on vamp
Debossed and tonal printed PUMA branding on tongue
Rubber midsole
Rubber outsole",NA
NA,"['3', '4', '5', '6', '7', '8']","Heel type: Platform
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Shoe pronation: Neutral
Low boot
EVA midsole
Rubber outsole
Synthetic upper
Textile vamp with synthetic overlays
PUMA Formstrip on lateral side
PUMA branding on quarter, heel and tongue label",,NA
NA,"['3', '4', '5', '6', '7', '8']","Heel type: Platform
Shoe width: Regular fit
Heel-to-toe-drop: 0 mm
Shoe pronation: Neutral
Low boot
EVA midsole
Rubber outsole
Synthetic upper
Textile vamp with synthetic overlays
PUMA Formstrip on lateral side
PUMA branding on quarter, heel and tongue label",,NA
NA,"['3', '4', '5', '6', '7', '8']","Synthetic quarter panels and eyestay
Leather vamp and underlays on eyestay, Formstrip and heel cap
Suede Formstrip and heel cap
Textile top tongue with woven PUMA label
Mesh bottom tongue with nylon binding
Platform silhouette
IMEVA and rubber midsole
IMEVA and rubber outsole",,NA
NA,"['3', '4', '5', '6', '7', '8']","Synthetic quarter panels and eyestay
Leather vamp and underlays on eyestay, Formstrip and heel cap
Suede Formstrip and heel cap
Textile top tongue with woven PUMA label
Mesh bottom tongue with nylon binding
Platform silhouette
IMEVA and rubber midsole
IMEVA and rubber outsole",,NA
NA,"['3', '4', '5', '7', '8']",SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel,"Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 8.0 mm
Low-cut boot
Laces
SOFTFOAM+ sockliner
Zoned rubber traction on the outsole",NA
NA,"['3', '4', '5', '6', '7', '8']",SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel,"Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 8.0 mm
Low-cut boot
Laces
SOFTFOAM+ sockliner
Zoned rubber traction on the outsole",NA
NA,"['3', '5', '7', '8']",SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel,"Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 8.0 mm
Low-cut boot
Laces
SOFTFOAM+ sockliner
Zoned rubber traction on the outsole",NA
NA,"['3', '4', '5', '6']","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 12 mm
Suitable for an average distance of upto 500 km
Ideal for Road & Treadmill Running",,NA
NA,"['3', '3.5', '4', '5', '6', '7', '8']","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 12 mm
Suitable for an average distance of upto 500 km
Ideal for Road & Treadmill Running",,NA
NA,"['3', '4', '5', '6', '7']","Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 12 mm
Suitable for an average distance of upto 500 km
Ideal for Road & Treadmill Running",,NA
NA,"['3', '4', '5', '6', '7', '8']",SoftFoam+: PUMA’s comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day,"Synthetic upper
Rubber outsole
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
PUMA Cat logo on heel
PUMA Wordmark & Cat Logo on tongue",NA
NA,"['3', '4', '5', '6', '7', '8']",SoftFoam+: PUMA’s comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day,"Synthetic upper
Rubber outsole
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
PUMA Cat logo on heel
PUMA Wordmark & Cat Logo on tongue",NA
NA,"['3', '4', '5', '6', '7', '8']",IMEVA: PUMA's material for a lightweight and comfortable feel,"Low boot
Mesh and nylon upper with suede overlays
Textile sockliner with printed PUMA branding
IMEVA midsole
Rubber outsole
Lace closure for a snug fit
Textile lining
PUMA Wordmark label at tongue
PUMA Wordmark at lateral side
PUMA Formstrip at medial and lateral sides",NA
NA,"['3', '4', '5', '6', '7', '8']",IMEVA: PUMA's material for a lightweight and comfortable feel,"Low boot
Mesh and nylon upper with suede overlays
Textile sockliner with printed PUMA branding
IMEVA midsole
Rubber outsole
Lace closure for a snug fit
Textile lining
PUMA Wordmark label at tongue
PUMA Wordmark at lateral side
PUMA Formstrip at medial and lateral sides",NA
NA,"['3', '4', '5', '6']","NITRO Elite: Premium performance foam technology that provides pinnacle responsiveness in an extremely lightweight package
PWRPLATE: Innovative carbon composite plate designed for maximum energy transfer and optimised running efficiency
PWRTAPE: Targeted upper reinforcement for support and durability
PUMAGRIP: Durable performance rubber compound designed for all-surface traction","Water-repellent upper
Reflective design elements
TPU heel spoiler
Best for: Neutral pronators
Heel-to-toe drop: 6 mm
Cushioning level: Max
PUMA Formstrip on the lateral side",NA
NA,['3.5'],SoftFoam+sockliner: Sock-like structure provides flexible fit and long-lasting comfort,"Heel type: Flat
Shoe width: Regular fit
Premium leather upper with tonal T-toe overlays
Subtle metallic accents
Full lace closure with metal eyelets
Contrast padded collar and tongue
IMEVA midsole offers superior cushioning and shock absorption
Chunky, sculpted midsole design
Rubber outsole provides exceptional grip
Classic PUMA branding details",NA
NA,"['3', '5', '6', '7', '8']",NITRO Infused: Enclosed nitrogen-injected foam designed to provide responsiveness and cushioning in a lightweight package,"Synthetic upper
Leather and suede overlays
Lycra® tongue and heel counter
IMEVA midsole
Rubber outsole
PUMA lace jewel
PUMA Cat Logo on the midsole",NA
NA,"['3', '4', '5', '6', '7', '8']","SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
Recycled Content: The upper of this shoe is made with at least 20% recycled materials as a step toward a better future","Soft leather upper with mid-cut collar
Rubber midsole
Rubber outsole
PUMA Formstrip on side
PUMA branding on tongue label, upper and heel",NA
NA,['7'],"Recycled Content: Made with at least 20% recycled material as a step toward a better future
SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel","Mid-boot construction
Leather upper with recycled material
Perforated vamp
Hook-and-loop strap closure for easy on/off
Rubber midsole and outsole
Platform heel with wider vertical lines
PUMA Formstrip on medial and lateral sides
PUMA Cat Logo on heel",NA
