Count_of_sizes,Name_ of_colors,Product_code
4,NAVY/LIGHT BLUE,124885-NVLB
5,GREY/PINK,124885-GYPK
4,BLUE,172078-BLLM
4,PINK,172079-PKPR
3,LLIGHT BLUE,172078-LTBL
5,BLACK/MULTI,124942-BKMT
4,PURPLE,172079-PUR
6,MMAUVE,149710-MVE
2,GREY,149710-GRY
6,MMAUVE,149710-MVE
3,GREY/PINK,128924-GYPK
2,BLACK/WHITE,149817-BKW
2,BLACK/WHITE,149817-BKW
2,MMAUVE,149817-MVE
3,NAVY/BLUE,128924-NVBL
2,ROSE GOLD,149591-RSGD
2,BLACK/GOLD,149591-BKGD
2,BLACK/GOLD,149591-BKGD
2,MMAUVE,136541-MVE
0,GREY,136541-GRY
2,GREY,149710-GRY
2,WHITE/RED,177965-WRD
5,TEAL,172053-TEAL
4,MMAUVE,172053-MVE
5,GRAY/PINK,172053-GYPK
2,BLACK/WHITE,177960-BKW
2,BLACK/WHITE,177960-BKW
2,BLACK/RED,177964-BKRD
2,MULTI,177960-MLT
2,BLACK/RED,177967-BKRD
2,PLUM,150020-PLUM
3,NNNAVY,150020-NVY
5,NAVY/BLUE,130008-NVBL
5,BLACK/PURPLE,130008-BKPR
6,PPINK,172034-PNK
6,SLATE,172034-SLT
1,TEAL,172034-TEAL
5,WHITE,155507-WRNV
2,WHITE/RED/PINK,155507-WRPK
2,LLLIGHT PINK,155507-LTPK
3,RUST,73690-RST
0,PURPLE,73690-PUR
0,MMAUVE,73690-MVE
3,MINT,73690-MNT
6,SLATE,73690-SLT
0,PLUM,73690-PLUM
2,BLUSH,73690-BLSH
5,DARK MAUVE,73690-DKMV
0,YELLOW,73690-YEL
5,DDARK RED,73690-DKRD
0,PPINK,73690-PNK
5,LLIGHT BLUE,73690-LTBL
5,WHITE,177981-WMLT
0,BLACK/MULTI,177981-BKMT
5,LLLIGHT PINK,177138-LTPK
5,BLACK,149389-BKMT
4,NATURAL,149389-NTBK
5,GGREEN,177138-GRN
2,MMAUVE,177421-MVE
3,BLACK/PINK,150024-BKPK
3,NAVY/LAVENDER,150024-NVLV
6,BBURGUNDY,140220-BURG
6,RRUST,140220-RUST
6,TAN,140220-TAN
0,NAVY/GREY,140220-NVGY
0,DARK TAUPE,140220-DKTP
2,NNNAVY,140226-NVY
6,MMAUVE,140221-MVE
0,BLACK/WHITE,140221-BKW
0,LILAC,140221-LIL
