Count_of_sizes,Name_ of_colors,Product_code
5.0,CAMEL,FGC0L80R7421Z
3.0,KHAKI,FGC0L4001101C
7.0,NAVY,FGC015050091A
4.0,SNAYPE,FGC099009251D
4.0,CASHEW BROWN,FGC015034851A
7.0,CAMEL,FGC0AA050061A
5.0,OLIVE GREEN,FGC0V70R7981Z
2.0,OLIVE GREEN,FGC015035031A
7.0,CAMEL,FGC0D4050181A
1.0,OLIVE GREEN,FGC0150R7481Z
0.0,DNAVY M27,FGC0L40R6541Z
0.0,CHIKU,FGC015010771A
7.0,CAMEL,FGC015050071A
7.0,CAMEL,FGC0H9050161A
7.0,RB BROWN,FGC0H9034201A
5.0,CAMEL,FGC0150R7441Z
7.0,STEEL GREY,FGC015037801S
7.0,GREY,FGC0AX037811S
7.0,CAMEL,FGC0510AR822A
7.0,GREY,FGC0T9019051A
7.0,RUSSIA DBROWN,FGC0BB035861A
7.0,DNAVY,FGC015023331A
7.0,BROWN,FGC0510AR832A
7.0,BROWN,FGC015050171A
1.0,OLIVE GREEN,FGC0L9056091G
7.0,CHIKU/TOUPE,FGF051046362A
3.0,OLIVE,FGC0L4002321F
7.0,GREY,FGC015043531S
7.0,RUST BROWN,FGC0AR026761A
7.0,DTAN,FGF0R7046492A
7.0,LTAN,FGF0C3045482A
4.0,NTAN,FGC015012071A
7.0,TAN,FGF0C3046372A
7.0,BEIGE,FGF051045492A
6.0,CAMEL,FGC0M6029221A
7.0,BLACK,FGF0C3046352A
6.0,CAMEL,FGC0M6032871A
6.0,LBROWN,FGC089034191A
0.0,PARIS GREY,FGC015037811S
7.0,BROWN,FGF0C3046272A
7.0,BLACK,FGF0C3045472A
7.0,BROWN,FGC051046392A
7.0,DTAN,FGF0R7046472A
7.0,BROWN,FGF018044532A
7.0,LCIGAR,FGC051046482A
0.0,DNAVY,FGC0V70R8021Z
7.0,BLACK,FGF0C3046402A
6.0,CAMEL,FGC015023481A
7.0,GREY,FGF0510R3432A
6.0,SNAYPE,FGC0AA032221A
7.0,SNAYPE,FGC015012761A
7.0,OLIVE GREEN,FGC0AA035931A
7.0,BLACK,FGF0180R4172B
7.0,BROWN,FGF0C3046462A
6.0,CADET BLUE,FGC0AA034191A
7.0,DTAN,FGF0C3046442A
4.0,OLIVE GREEN,FGC051020391A
5.0,RUSSIA DBROWN,FGC0BB035871A
6.0,CAMEL,FGC051027451A
0.0,LGREEN,FGC0H9026601A
5.0,CADET BLUE,FGC0H9027441A
5.0,OLIVE GREEN,FGC0CK035641A
5.0,CAMEL,FGC0L40R6601Z
0.0,KHAKI,FGC051004072D
6.0,LBROWN,FGC0830T7062A
