Brand,Shoename,Category,no_of_colors,Price
Nike,Air Force 1 '07,Men,2.0,7 495.00
Nike,Air Max 1,Men,5.0,12 795.00
Nike,Air Max 90,Men,1.0,11 895.00
Nike,Jordan Max Aura 5,Men,5.0,11 895.00
Nike,Air Force 1 '07 Pro Tech,Men,3.0,13 995.00
Nike,Air Trainer 1,Men,1.0,11 895.00
Nike,Air Force 1 '07,Men,1.0,8 195.00
Nike,Dunk Low Retro Premium,Men,1.0,9 695.00
Nike,Blazer Low '77 Jumbo,Men,2.0,8 595.00
Nike,Dunk Low,Men,1.0,8 695.00
Nike,Air Huarache Runner,Men,5.0,12 795.00
Nike,Air Force 1 '07,Women,5.0,8 195.00
Nike,Air Force 1 '07 EasyOn,Women,1.0,9 695.00
Nike,Air Jordan 1 Low SE,Women,2.0,10 295.00
Nike,Jordan Stadium 90,Women,3.0,12 795.00
Nike,Air Max 90 SE,Women,1.0,12 795.00
Nike,Dunk Low SE,Women,1.0,9 695.00
Nike,Air Jordan 1 Low,Women,3.0,8 295.00
Nike,Air Max 1,Women,5.0,12 795.00
Nike,Air Force 1 '07,Women,1.0,10 795.00
Nike,Blazer Low '77 Jumbo,Women,4.0,8 595.00
Nike,Cortez,Women,3.0,7 495.00
Nike,Air Force 1 '07,Women,1.0,9 695.00
Nike,Air Force 1 '07 LX,Women,1.0,11 895.00
Nike,Calm,Women,2.0,5 695.00
Nike,Gamma Force,Women,3.0,8 495.00
Nike,Dunk Low LX NBHD,Women,2.0,10 795.00
Nike,Blazer Low '77,Women,2.0,7 195.00
Nike,Air Force 1 PLT.AF.ORM,Women,2.0,8 695.00
Nike,Air Jordan 1 Low SE,Women,1.0,10 295.00
Nike,Dunk Low,Women,1.0,8 695.00
Nike,Blazer Low '77 Vintage,Men,3.0,7 195.00
Nike,Court Vision Low,Men,1.0,5 695.00
Nike,Air Force 1 '07 LV8,Men,2.0,10 795.00
Nike,Dunk Low SE,Women,1.0,9 695.00
Nike,Zoom Vomero 5,Women,1.0,16 995.00
Nike,Air Max SC SE,Women,1.0,7 495.00
Nike,Air Max 1 LX,Women,2.0,14 995.00
