sno,Count_of_sizes,Name_of_colors,Product_code
0,13.0,White/White,CW2288-111
1,17.0,White/Photon Dust/Black/University Blue,FD9082-103
2,13.0,Anthracite/Black/Mystic Red/Summit White,FB9658-001
3,15.0,White/Varsity Red/Wolf Grey/Black,DZ4353-101
4,17.0,Light Silver/Clear/Light Silver,FB8875-002
5,13.0,Light Silver/Black/Deep Royal Blue/Football Grey,FB8886-001
6,14.0,White/Black,CT2302-100
7,13.0,Deep Jungle/Light Silver/Deep Jungle/White,FB8896-300
8,13.0,Sail/Gum Medium Brown/Pro Green,DR9865-101
9,9.0,Sail/Coconut Milk/White/Deep Jungle,FQ8080-133
10,13.0,Cargo Khaki/Medium Olive/Sequoia/White,DZ3306-300
11,10.0,Fireberry/Fireberry/Fierce Pink,DD8959-600
12,9.0,White/White/White,DX5883-100
13,11.0,Pink Blast/Sail/Chile Red,FB9893-600
14,11.0,White/Sky J Light Olive/Galactic Jade,FB2269-103
15,9.0,Khaki/Baroque Brown/Dark Russet/Medium Olive,FV1176-247
16,11.0,White/Black/Multi-Colour,FD8683-100
17,9.0,Pure Platinum/White/Sky J Orange,DC0774-080
18,11.0,Sail/Red Stardust/Coconut Milk/Cedar,DZ2628-103
19,11.0,White/Black/Multi-Colour,FB8251-100
20,13.0,Black/Black/Team Orange/White,DQ1470-002
21,13.0,White/Light Photo Blue/Sail/Black,DN1791-100
22,15.0,Sail/Pale Vanilla/Gold Suede/Deep Royal Blue,FQ8103-133
23,10.0,White/Photon Dust/White/Light Smoke Grey,DZ2708-102
24,6.0,Oil Green/Oil Green,FB2185-300
25,11.0,White/Light Smoke Grey/Summit White/Malachite,DX9176-106
26,11.0,Light Smoke Grey/Photon Dust/Midnight Navy/White,FB7720-002
27,11.0,White/Sail/White/Black,DC4769-102
28,13.0,White/White/White/Summit White,DJ9946-100
29,5.0,Sky J Orange/Sail,FN3722-801
30,11.0,Pearl Pink/Pink Oxford/Summit White,FB9881-600
31,13.0,White/Sail/Black/Pine Green,DA6364-115
32,13.0,Sail/Light Orewood Brown/White/Black,FQ8075-133
33,13.0,Phantom/Cargo Khaki/Dark Russet/Phantom,FB8877-001
34,11.0,Light Orewood Brown/Gum Light Brown/Coconut Milk/Sail,FQ8147-104
35,8.0,Plum Eclipse/Pink Oxford/Earth/Black,FV1166-200
36,10.0,Red Stardust/Cedar/Black/Deep Jungle,FB8459-600
37,10.0,Sail/Light Orewood Brown/Sundial/Rugged Orange,FD2370-100
38,12.0,White/Desert Ochre/Black,DH3162-100
39,12.0,White/White/White,DH9636-101
40,11.0,Coconut Milk/White/Vivid Sulphur,DZ2794-100
41,9.0,Sail/Gum Yellow/Oil Grey,432997-121
42,12.0,White/White/White/Black,DC7695-100
43,9.0,White/White/White,CI0919-100
44,7.0,Phantom/Pink Oxford/White/Red Stardust,DZ1847-001
45,11.0,Black/Multi-Colour/White/Black,FQ8143-001
46,7.0,White/Gym Red/Black,CD7069-116
47,12.0,Black/White/Field Purple,DO5047-005
48,12.0,White/Bright Concord/True Red/Black,DQ8426-154
49,9.0,White/White/White,554724-136
50,8.0,White/Summit White/White/Blue Tint,DH9523-105
51,6.0,White/Neutral Grey/Metallic Gold,DV1307-107
52,12.0,Black/Particle Grey/Dark Smoke Grey,DD9293-002
53,13.0,White/Midnight Navy/University Red,FB2207-101
54,14.0,Neutral Grey/Black/Dark Concord/University Red,DZ4475-026
